side_dist = (2.15, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.43, 1.00)
side_dist = (2.16, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.44, 1.00)
side_dist = (2.16, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.44, 1.00)
side_dist = (2.17, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.45, 1.00)
side_dist = (2.18, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.45, 1.00)
side_dist = (2.19, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.46, 1.00)
side_dist = (2.19, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.46, 1.00)
side_dist = (2.20, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.47, 1.00)
side_dist = (2.21, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.47, 1.00)
side_dist = (2.21, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.48, 1.00)
side_dist = (2.22, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.48, 1.00)
side_dist = (2.23, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.49, 1.00)
side_dist = (2.24, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.49, 1.00)
side_dist = (2.24, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.50, 1.00)
side_dist = (2.25, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.50, 1.00)
side_dist = (2.26, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.51, 1.00)
side_dist = (2.27, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.51, 1.00)
side_dist = (2.28, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.52, 1.00)
side_dist = (2.28, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.52, 1.00)
side_dist = (2.29, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.53, 1.00)
side_dist = (2.30, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.53, 1.00)
side_dist = (2.31, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.54, 1.00)
